epoch,train_loss,val_mean_dice,val_dice_RV,val_dice_MYO,val_dice_LV
1,2.0012173876166344,0.03965045252243726,0.11009594875504262,0.0008182585856047808,0.00803715022666438
2,1.7749443396925926,0.045968398304103174,0.13752343071537326,0.00033147083595395086,5.029336098232307e-05
3,1.706347681581974,0.047972110510697046,0.13666847643398797,0.0,0.007247855098103173
4,1.6461342945694923,0.029379295933176765,0.07188230695610401,0.0037540909426752476,0.012501489900751039
5,1.5826828837394715,0.05308423268676658,4.4737492862623186e-05,0.003335513360798359,0.15587244720663876
6,1.5226624026894569,0.06991083727771183,0.0,0.001584827492479235,0.20814768434065628
7,1.4645450949668883,0.12338159938323465,0.0,0.00027671932184603065,0.369868078827858
8,1.4100845977663994,0.1191306073218584,0.0,0.0,0.35739182196557523
9,1.3568768158555031,0.18494355380535127,0.0,0.0,0.5548306614160537
10,1.299378889799118,0.16557705209221846,0.0,0.0021988292020978404,0.4945323270745575
11,1.2420312598347665,0.2824944754499787,0.0,0.20916695466148666,0.6383164716884494
12,1.1823552623391151,0.3986466574812463,0.0,0.5078063578403089,0.68813361460343
13,1.1314157396554947,0.40986380870162975,0.0,0.524747920758091,0.7048435053467983
14,1.0804283678531648,0.443489248175562,0.026228727196576075,0.5655393550172448,0.7386996623128652
15,1.038158754259348,0.6052476865006611,0.5256401006132364,0.5757247779984027,0.7143781808903441
16,0.990003951638937,0.6467190357546012,0.5264209412038326,0.6081400781869888,0.805596087872982
17,0.9467164196074009,0.6570173704065383,0.5574525508098305,0.6467129714787007,0.7668865889310836
18,0.9028837345540524,0.7012503137220241,0.628409417354851,0.6532441910356284,0.8220973327755928
19,0.863495696336031,0.729506368500491,0.6602513710036874,0.686422485858202,0.8418452486395835
20,0.8292980991303921,0.599645178206265,0.4498014559969306,0.5711535066366196,0.7779805719852447
21,0.7964193917810917,0.7608234085142612,0.7019640929996968,0.7064884066581726,0.8740177258849144
22,0.7572816908359528,0.7506008341287573,0.6835415599867701,0.7000268697738647,0.868234072625637
23,0.7248662702739239,0.7525211567059159,0.6877983255311847,0.710921286046505,0.8588438585400582
24,0.6935873791575432,0.7400168899446726,0.677622563764453,0.687914228439331,0.8545138776302338
25,0.6651066154241562,0.754184733517468,0.689449661783874,0.7039313085377217,0.8691732302308083
26,0.6327785067260265,0.7781828260049224,0.7231466243043542,0.7412315241992473,0.8701703295111656
27,0.6045000344514847,0.7709889604399601,0.7084719251841307,0.7286129981279373,0.8758819580078125
28,0.5851397138088942,0.707789781751732,0.6274176551029086,0.662442733719945,0.8335089564323426
29,0.5543702214956283,0.7632723500331243,0.6823877304792404,0.7271816998720169,0.8802476197481155
30,0.5253028105944395,0.7888724849869808,0.7299469899386167,0.7485936857759953,0.8880767792463302
31,0.4944908060133457,0.781422009691596,0.7173061732202768,0.7438352718949318,0.8831245839595795
32,0.4665995467454195,0.7822215983023246,0.725287851318717,0.7434903889894485,0.8778865545988083
33,0.4492523387074471,0.7985092965265116,0.7544024474918842,0.751099382340908,0.8900260597467422
34,0.42004116587340834,0.8032548128316799,0.7691372167319059,0.754536435008049,0.886090786755085
35,0.3975291080772877,0.7906993022188544,0.7361029097810388,0.7574485339224338,0.8785464629530907
36,0.37357300743460653,0.7814129516482353,0.7441024251282216,0.7435649536550045,0.85657147616148
37,0.3540683798491955,0.7882405693332355,0.720463502407074,0.7551203191280365,0.8891378864645958
38,0.3366032365709543,0.7938843219230572,0.7455277189612388,0.7380591791123152,0.8980660676956177
39,0.3192935958504677,0.7909277801712354,0.7479154296219349,0.7450773678719997,0.8797905430197716
40,0.29905077163130045,0.7903762525568405,0.7233258787542581,0.7532771661877632,0.8945257127285003
41,0.2827104752883315,0.8212912643949191,0.7933534622192383,0.7680261760950089,0.9024941548705101
42,0.2687036210671067,0.8000663366168738,0.7510165933519601,0.7528662741184234,0.8963161423802376
43,0.25448658112436534,0.812070932239294,0.783944271504879,0.7568116821348667,0.8954568430781364
44,0.24001740086823703,0.8060919225215912,0.7640982583165169,0.761122876405716,0.8930546328425407
45,0.22884938307106495,0.8082652499278387,0.7684053726494312,0.756879972666502,0.8995104044675827
46,0.22496284246444703,0.8228046961128712,0.7935091353952884,0.7694682747125625,0.9054366782307625
47,0.20820340774953366,0.8237111435582241,0.7947347078472375,0.7782854869961738,0.8981132358312607
48,0.1964571924880147,0.8228972745438415,0.7950404964387416,0.7659602507948875,0.9076910763978958
49,0.19179785810410976,0.8207801964133978,0.782473698630929,0.7810575604438782,0.8988093301653862
50,0.18189914487302303,0.8151913543542225,0.7816093742847443,0.769146029651165,0.8948186591267586
51,0.1763432824984193,0.8159009630481403,0.7770382478833199,0.7750951811671257,0.8955694600939751
52,0.1731460928916931,0.8287568176786106,0.7969981178641319,0.7854207873344421,0.9038515478372574
53,0.16267259549349547,0.8131173150613904,0.7689879251644015,0.7651801131665706,0.905183906853199
54,0.1605283146724105,0.8150949408610663,0.7854112513363362,0.7666932113468647,0.8931803598999977
55,0.151721344422549,0.8235897369682789,0.790302412956953,0.7802320137619972,0.9002347841858864
56,0.14638599548488856,0.8296721542874972,0.7993486240506172,0.782497450709343,0.9071703881025315
57,0.14090718356892468,0.821315345664819,0.7847815319895745,0.7818659693002701,0.8972985357046127
58,0.14002875685691835,0.8285255831976732,0.8058448277413846,0.7872369676828385,0.8924949541687965
59,0.13258099183440208,0.8299361613889535,0.7914758823812008,0.7910612910985947,0.9072713106870651
60,0.1280334211885929,0.8169495598723492,0.7732825983315706,0.7749643966555595,0.9026016846299172
61,0.12476003495976329,0.8140230448295673,0.7761326525360346,0.7774631693959236,0.8884733125567437
62,0.12064160481095314,0.8290169869860012,0.8011595666408539,0.7811900302767754,0.9047013640403747
63,0.11828463170677424,0.8277981149653595,0.7929559029638767,0.7850181132555007,0.9054203286767006
64,0.11975867953151464,0.8290136975546677,0.8026127122342587,0.7859276488423348,0.89850073158741
65,0.11700619962066412,0.8101155519485473,0.7714123122394085,0.7535951755940914,0.9053391680121422
66,0.11165741607546806,0.8269040311376255,0.7986751414835453,0.7754451222717762,0.9065918296575546
67,0.10726144276559353,0.8279164911558231,0.7997394178062678,0.7766220524907113,0.9073880031704903
68,0.10519257700070739,0.8291224243740242,0.7901700817048549,0.788396792113781,0.9088003993034363
69,0.10883839651942254,0.8207604045669239,0.7929429963231087,0.761093570291996,0.9082446470856667
70,0.10475900415331126,0.836531640465061,0.8093471881002188,0.7888840496540069,0.9113636836409569
71,0.1001126759685576,0.8297759555280209,0.7978774942457676,0.7790177226066589,0.9124326497316361
72,0.0989848985336721,0.8359565054376918,0.8073209300637245,0.7873872622847558,0.9131613239645958
73,0.09703891342505813,0.842538620531559,0.8130762070417404,0.7988709732890129,0.9156686812639236
74,0.09402376590296627,0.8354481590290865,0.8096790455281735,0.7926445633172989,0.904020868241787
75,0.09191196411848068,0.8399419528742632,0.8155609913170337,0.7971116110682488,0.9071532562375069
76,0.09026108765974641,0.8364650378624597,0.7978384271264076,0.7934661343693733,0.9180905520915985
77,0.09020178336650134,0.8350261392692726,0.8041197843849659,0.7937728136777877,0.9071858197450637
78,0.08690379401668906,0.8325472249339025,0.8068133298307657,0.7848725520074368,0.9059557929635048
79,0.08563061505556106,0.8290405005216599,0.7988451533019543,0.7796138383448123,0.9086625099182128
80,0.0870504541322589,0.8374733421951532,0.8089045610278844,0.790813660621643,0.9127018049359321
81,0.08422286631539463,0.8357043760518235,0.8014495901763439,0.7931504338979721,0.9125131040811538
82,0.08486469760537148,0.8425657023986182,0.8214276880025864,0.7954439729452133,0.9108254462480545
83,0.08156240396201611,0.837723346054554,0.8071796625852585,0.7966143921017647,0.9093759834766388
84,0.08144712978973985,0.8355755932629109,0.8028368957340717,0.7927808940410614,0.9111089900135994
85,0.0801230428274721,0.8350785822918017,0.8126044023782015,0.7900383308529854,0.9025930136442184
86,0.07795662241987884,0.8289082241555054,0.8031204648315906,0.7799685955047607,0.9036356121301651
87,0.07957887826487423,0.8378827816496293,0.8076807130128145,0.7897552609443664,0.9162123709917068
88,0.07726653050631285,0.8394760237385828,0.815730020776391,0.7930310025811196,0.9096670478582383
89,0.07389855771325529,0.8431608664492766,0.8218767546117306,0.7964531421661377,0.9111527025699615
90,0.0736534200143069,0.8389863414069015,0.8120375774800778,0.7925413638353348,0.9123800829052925
91,0.07292477395385503,0.8386640802025795,0.8121722966432572,0.7957961738109589,0.9080237701535225
92,0.0714213085360825,0.8383591249585152,0.8181425839662552,0.7908592790365219,0.9060755118727684
93,0.0698384776711464,0.8429129247864087,0.8177019476890564,0.7972759559750557,0.9137608706951141
94,0.06952892891131342,0.8417592463394007,0.8195428408682346,0.7903489887714386,0.9153859093785286
95,0.06900648423470557,0.8406061920026937,0.8097222484648228,0.7988710477948189,0.9132252797484398
96,0.08207381595857441,0.8211053141703207,0.7778230395168066,0.7842471435666084,0.9012457594275475
97,0.08254348272457719,0.8267955407500267,0.7932173505425453,0.7797547444701195,0.9074145272374153
98,0.07159636002033949,0.8365283124148846,0.8118775375187397,0.7891475111246109,0.9085598886013031
99,0.06839339532889425,0.8420254163444042,0.8135986812412739,0.7981471538543701,0.9143304139375686
100,0.0666545957326889,0.8412633006771404,0.8186441719532013,0.7932710587978363,0.911874671280384
101,0.0663358278106898,0.8377507947385311,0.8052822969853878,0.7946984395384789,0.9132716476917266
102,0.06342270984314383,0.846196877459685,0.825350683927536,0.8013554632663726,0.9118844851851463
103,0.06271655675955116,0.8430840818832319,0.8178019266575575,0.7943050667643548,0.9171452522277832
104,0.06269198879599572,0.846976013854146,0.817807100340724,0.8064043775200844,0.9167165637016297
105,0.06198499114252627,0.8395003174742062,0.8144115224480629,0.7885526284575463,0.9155368015170098
106,0.06014261692762375,0.8469711718459925,0.8234027244150639,0.803233751654625,0.9142770394682884
107,0.05928902928717435,0.8413602889825901,0.8144080463796854,0.7984612062573433,0.9112116143107414
108,0.06049222368746996,0.8397587386270363,0.8153902627527714,0.7989444449543953,0.9049415081739426
109,0.062275447975844146,0.8402039145429928,0.8118455037474632,0.7946456938982009,0.9141205459833145
110,0.0605756105389446,0.83865727186203,0.8171384498476982,0.7857456773519516,0.9130876883864403
111,0.058193952729925516,0.8469885542988778,0.8181184515357017,0.8038395628333092,0.9190076485276222
