epoch,train_loss,val_mean_dice,val_dice_RV,val_dice_MYO,val_dice_LV
1,1.950578945875168,0.11440513962491727,0.06420356397284195,0.09294599937275053,0.1860658555291593
2,1.5602179661393165,0.24539658523475127,0.19812745144590735,0.18159420602023602,0.35646809823811054
3,1.2926685497164727,0.3242392525076866,0.29247301183640956,0.24929045960307122,0.43095428608357905
4,1.0721055813133717,0.4013969489683708,0.37477983217686417,0.27592646051198244,0.5534845542162656
5,0.9112359374761582,0.47398104959477977,0.491154957562685,0.2868965556845069,0.6438916355371476
6,0.8047678582370281,0.5455385488768418,0.5894121546298265,0.3330558631569147,0.7141476288437844
7,0.7105684198439122,0.5639896788323918,0.5729846850037574,0.37960559595376253,0.7393787555396557
8,0.6406387589871884,0.6570919118821621,0.6617600977420807,0.5308506339788437,0.7786650039255619
9,0.5639122009277344,0.6949816331267357,0.6654711604118347,0.6063100710511208,0.8131636679172516
10,0.4955869197845459,0.7167241406937441,0.6792349278926849,0.6348418317735195,0.8360956624150276
11,0.446831426396966,0.7034387491643429,0.6724163629114628,0.6276858873665333,0.8102139972150326
12,0.4149253610521555,0.7311434507369995,0.6765684239566326,0.6626924209296703,0.8541695073246955
13,0.3657709199935198,0.7433595332006613,0.7013448871672153,0.6710186019539833,0.8577151104807854
14,0.332031911239028,0.7525883813699086,0.7089128360152245,0.6809864103794098,0.8678658977150917
15,0.3073869178071618,0.7573473633577427,0.7188864324241877,0.6870532810688019,0.8661023765802384
16,0.2913052007555962,0.7626852847635746,0.7209800690412521,0.695080428570509,0.8719953566789627
17,0.2713146643713117,0.7651694700121879,0.7297002784907818,0.6954809434711933,0.8703271880745888
18,0.2606801014393568,0.7702142977466185,0.7283617224544287,0.7088567450642586,0.8734244257211685
19,0.2402523525059223,0.7732185748716195,0.7432535983622074,0.705386258661747,0.8710158675909042
20,0.2261368500068784,0.7721115611493587,0.7414695248007774,0.697834824770689,0.8770303338766098
21,0.2192010186612606,0.7764723874628544,0.7479710564017296,0.7025726266205311,0.8788734793663024
22,0.2074127836152911,0.7797646346191566,0.7601389102637768,0.7176487192511558,0.8615062743425369
23,0.19783018361777066,0.7783432579288879,0.7579907733947039,0.7086544021964073,0.8683845981955528
24,0.19074414242058993,0.7811082815130552,0.7512858152389527,0.7101428180932998,0.881896211206913
25,0.1793264586478472,0.785975132137537,0.7535372853279114,0.7186451397836209,0.8857429713010788
26,0.17525023706257342,0.7884297000865141,0.7647512897849083,0.7133160151541234,0.8872217953205108
27,0.16925586201250553,0.784666434302926,0.7519670430570841,0.7245767064392566,0.8774555534124374
28,0.16975187221542,0.7872511309261123,0.7461252620443701,0.7282346755266189,0.8873934552073479
29,0.15936377681791783,0.7869458120316267,0.7509621318429709,0.7303367741405964,0.8795385301113129
30,0.14966588811948894,0.7949204713106155,0.7666343845427036,0.7309439741075039,0.8871830552816391
31,0.1451931491494179,0.7878347601741552,0.757055451348424,0.7211186811327934,0.8853301480412483
32,0.14193043932318689,0.7934682698299488,0.7662762042135001,0.7304310344159604,0.8836975708603859
33,0.1367707117460668,0.7989721745252609,0.7722422271966934,0.7316803351044655,0.8929939612746238
34,0.1345924268476665,0.7917010227839152,0.7529855780303478,0.7305728144943714,0.8915446758270263
35,0.1321641826070845,0.7991728715598583,0.7685553267598152,0.7356072001159191,0.8933560878038407
36,0.12711574975401163,0.798494105041027,0.7725286729633808,0.7320783101022243,0.890875332057476
37,0.12398723103106021,0.8007941549022993,0.769531762599945,0.7389112919569015,0.8939394101500511
38,0.12261859364807606,0.7978717119743427,0.7687507528811693,0.7348958849906921,0.8899684980511665
39,0.12058993419632316,0.8001494054992992,0.7662964560091495,0.742187375575304,0.8919643849134445
40,0.11841496555134653,0.8017893490691979,0.7730916626751423,0.7385329216718673,0.8937434628605843
41,0.11500723799690604,0.8016815515855947,0.7727022767066956,0.7417661614716053,0.8905762165784836
42,0.11434054039418698,0.8004657482107479,0.7759474143385887,0.734299011528492,0.8911508187651634
43,0.11099523575976492,0.7983916287620862,0.7719236463308334,0.7322415500879288,0.8910096898674965
44,0.11009352877736092,0.8007742856939633,0.7781075164675713,0.7352730304002761,0.8889423102140427
45,0.1113477629609406,0.8009948067367076,0.7678254634141922,0.7405367456376553,0.8946222111582756
46,0.11048523224890232,0.8009935004015765,0.7777021490037441,0.740381284058094,0.8848970681428909
47,0.10554272532463074,0.7966956933339437,0.7715533204376698,0.7305037684738636,0.8880299910902977
48,0.10323145082220435,0.8027645533283552,0.7821983203291893,0.7354422822594643,0.8906530573964119
49,0.10163899641484023,0.7962222217271725,0.7728258553892374,0.7276289306581021,0.8882118791341782
50,0.10150572378188372,0.8044914205869039,0.7772433117032052,0.7409704521298408,0.8952604979276657
51,0.10009202053770423,0.8047750627001126,0.7739694774150848,0.7425626069307327,0.8977931037545204
52,0.09821643494069576,0.7993763243158659,0.7733988769352436,0.7364043317735195,0.8883257642388344
53,0.09715925874188543,0.8044741045683622,0.7767664071172475,0.7425441674888134,0.8941117390990257
54,0.09583028377965093,0.7967635651429494,0.7745985560119152,0.7310391388833523,0.8846530005335808
55,0.09749852800741791,0.7970377457638582,0.7669803544878959,0.7362401403486729,0.8878927424550056
56,0.09953547837212681,0.8024008875091871,0.7729684390127659,0.7438468970358372,0.8903873264789581
57,0.09733970686793328,0.8014858720203242,0.7711576856672764,0.739799253642559,0.8935006767511368
58,0.09222587626427411,0.797607816879948,0.7688009280711412,0.7344619899988174,0.8895605325698852
59,0.09011985622346401,0.8041250949104628,0.7765164740383625,0.7423169977962971,0.8935418128967285
60,0.08710546782240272,0.8050796639174223,0.7773074720054864,0.7436181157827377,0.8943134039640427
61,0.08602302828803658,0.8039491129418215,0.7783333495259285,0.7406405873596669,0.892873401939869
62,0.08338055647909641,0.8051661424338817,0.7805679745972156,0.7428240180015564,0.8921064347028732
63,0.08370385076850653,0.802516639729341,0.7764232687652111,0.7405390955507756,0.890587554872036
64,0.08241672446019947,0.8051532675822577,0.7794081345200539,0.7427995845675468,0.8932520836591721
65,0.08372432608157396,0.8031497134516636,0.7795201759785414,0.7390614911913872,0.8908674731850624
66,0.08360099913552403,0.8044246116032203,0.7782543759793044,0.7429853320121765,0.8920341268181801
67,0.08059183461591601,0.8061631550391514,0.7789559669792652,0.7435217954218387,0.8960117027163506
68,0.07919658063910902,0.8024318262934684,0.7797741733491421,0.7412006758153439,0.8863206297159195
69,0.07891349191777408,0.8050194817284744,0.7820605032145977,0.7403940543532371,0.892603887617588
70,0.07871809117496013,0.8030843414366245,0.7819776080548764,0.7366854265332222,0.890589989721775
71,0.08022420490160584,0.8021340804795424,0.7763899952173233,0.7401298142969608,0.8898824319243431
