epoch,train_loss,val_mean_dice,val_dice_RV,val_dice_MYO,val_dice_LV
1,1.9198788210749627,0.34008175833369025,0.10684820018941536,0.33808698481370814,0.5753100899979472
2,1.7655036434531213,0.48049562866932927,0.2661631039576605,0.510187042504549,0.6651367395457782
3,1.6483066588640214,0.5556176726417713,0.4258131096903526,0.5540662107989192,0.6869736974360421
4,1.5412066265940667,0.5767958555118335,0.4762181534606498,0.526263278350234,0.727906134724617
5,1.433370126783848,0.6060158520917562,0.5302221367077437,0.5329710574820637,0.7548543620854616
6,1.3334269873797893,0.6242910058945805,0.5244100504816742,0.5970258732326329,0.7514370939694345
7,1.2444714829325676,0.6405979667217859,0.5479824179288698,0.6093121925368905,0.7644992896995972
8,1.1621719621121884,0.6466925540020384,0.5862891453127304,0.6013625980354845,0.7524259186579002
9,1.0841017331928016,0.6558429315996667,0.5823863613419235,0.6208538509905338,0.7642885824665427
10,1.009056229516864,0.663459067776057,0.6051491372953024,0.6203781131654977,0.764849952867371
11,0.9384058620780706,0.6457128201573141,0.6083677557648116,0.6057283599395304,0.7230423447676003
12,0.8763036083430051,0.6635890573384435,0.5993053672777023,0.6336105741560459,0.7578512305815821
13,0.8174341768026352,0.669212689034733,0.6165284240807523,0.6458100401181582,0.7452996029052883
14,0.7729798953980207,0.6588033054730962,0.6176658186854184,0.618269023206085,0.7404750745277852
15,0.714012760668993,0.6555842181997529,0.5971578232769389,0.6272833903785795,0.7423114409437404
16,0.6600613299757242,0.7009893542233234,0.6571886908495799,0.6756255470216275,0.7701538247987628
17,0.6113421712070704,0.6793352400709409,0.6423272439278662,0.6388684971258044,0.7568099791591522
18,0.5639136094599962,0.6794564668127956,0.6363139489316382,0.6549888879992067,0.747066563507542
19,0.5185947520658374,0.682959778426266,0.64702321243185,0.6526154687162489,0.7492406541306991
20,0.4726401973515749,0.6915825867432431,0.6500855877937284,0.6593132557347416,0.7653489167012595
21,0.45042463541030886,0.6729212058640163,0.6249073245708132,0.6257378611480817,0.7681184318731539
22,0.398696225322783,0.7087937196551743,0.6611508597357897,0.6814090359956027,0.783821263234131
23,0.3543323973193765,0.7055904876091518,0.655575103368028,0.6848237436264754,0.7763726158329518
24,0.3199075100943446,0.7155328863647205,0.6304550942142668,0.7065763100981712,0.809567254781723
25,0.2940496260300279,0.7060169493362385,0.6576725532562705,0.6890594884753227,0.7713188062771223
26,0.267525792773813,0.7060799232286323,0.6753078236128204,0.6758273534476757,0.767104592625401
27,0.24539468558505179,0.7140819796768483,0.6640618033066857,0.6898690659552813,0.7883150697685778
28,0.23073584772646427,0.7090059925501313,0.6544211979984539,0.6869204681366682,0.7856763115152716
29,0.21178587209433317,0.7300872934371,0.6842868231266038,0.6871143005788326,0.8188607566058635
30,0.19616339709609748,0.721048630742977,0.6738214340992272,0.6844748318195343,0.8048496263101697
31,0.18277081716805696,0.7045634532618956,0.6731237457250245,0.670294310990721,0.7702723030699417
32,0.17388943484984337,0.7053701583169945,0.6759378461021697,0.6698711917968467,0.7703014370519667
33,0.17218617438338696,0.6787113362522481,0.6653103026852477,0.642038019247957,0.7287856868235394
34,0.15856249961070717,0.7307972483259315,0.699757320410572,0.7032628048211336,0.7893716197460889
35,0.14242866011336447,0.7096994908511381,0.686082655005157,0.6772382006049156,0.7657776169433419
36,0.13862960948608816,0.7141425926820375,0.6712639495672192,0.6980466142296791,0.7731172142492142
37,0.13942483561113478,0.7147255175107906,0.6728582718151301,0.6944026652723551,0.7769156154448865
38,0.12467817654833198,0.728181722681135,0.6904819481642335,0.7057045057415963,0.7883587141375756
39,0.11572057795710862,0.7311824578170973,0.688587760925293,0.703675789758563,0.8012838227674365
40,0.11008622813969851,0.7437998233052591,0.7032502158544958,0.7193277768790722,0.8088214771822095
41,0.10845285314135253,0.7354833560840538,0.6935528310132213,0.7092796262353659,0.803617611003574
42,0.10371217448264361,0.7370506058466466,0.7017721999029163,0.7029395580291748,0.8064400596078485
43,0.10435954071581363,0.7469456564466478,0.702261083895064,0.7279356844723225,0.8106402009725571
44,0.12366586741991341,0.6548108763371905,0.6111428798059932,0.6270633247913793,0.7262264244141988
45,0.12104364787228405,0.708980663594169,0.6842019441071898,0.6871543211862445,0.7555857254890725
46,0.09749564421363174,0.7142031999115716,0.6772340316325426,0.6949316253885627,0.7704439427136094
47,0.09143889220431448,0.7257968115496624,0.6953368574475463,0.6936023093760013,0.7884512678254396
48,0.08608702851925046,0.721604662387108,0.6831499757841811,0.6980498176068067,0.783614193770336
49,0.08277926652226597,0.725121759888134,0.6891262608842226,0.7045989837497473,0.781640035030432
50,0.08074519142974168,0.7265205680339326,0.6940299130990752,0.7015887072309852,0.7839430837717373
51,0.08043010937981307,0.7246584998226051,0.6847888203383263,0.7069541841745377,0.7822324949549511
52,0.07742594580631704,0.7384912228008034,0.7007063757482683,0.7163622256368398,0.798405067017302
53,0.07512883257586508,0.7272967091955556,0.6832800026633776,0.7028630018234253,0.7957471230998635
54,0.07396794806700199,0.7285067565254091,0.68346617440111,0.70550950281322,0.7965445923618972
55,0.0724266019416973,0.7202039746403898,0.6810111529401184,0.7010194268077612,0.7785813441732898
56,0.07407800552900881,0.7170766720325142,0.6818566936563002,0.6936671424657106,0.775706179975532
57,0.0760194182395935,0.7262165411632546,0.685654921673995,0.7011530425399541,0.7918416592758148
58,0.07193215969018638,0.7239506742264591,0.6840722810382431,0.701926352828741,0.785853388812393
59,0.06902860386762769,0.7442156225889145,0.6931003855017479,0.7179914735257625,0.821555008739233
